,ID,mangaid,subfind_id,ifusize,redshift,lambda_r,star_axis,gas_axis,pa_offset,stel_qual,stel_feature,halpha_qual,halpha_feature
0,TNG100-440479-IFU-127,1-48157,440479,127,0.03741271507848185,0.8026966507904854,303.5,287.5,16.0,2,0,2,0
1,TNG100-394987-IFU-127,1-48188,394987,127,0.04684962505220013,0.7601007441104458,284.0,283.5,0.5,2,0,2,2
2,TNG100-76116-IFU-127,1-55648,76116,127,0.044099058106659206,0.5709924282227364,50.0,43.0,7.0,2,0,1,2
3,TNG100-125182-IFU-19,1-55784,125182,19,0.025266477883229558,0.1719841257212676,80.0,,,0,0,0,0
4,TNG100-168409-IFU-19,1-55567,168409,19,0.022589452996985653,0.3531164851599086,72.0,,,2,0,0,0
5,TNG100-128442-IFU-37,1-48201,128442,37,0.037664165253777686,0.16515520588047886,154.0,,,1,0,0,0
6,TNG100-626552-IFU-37,1-48111,626552,37,0.0244115195622734,0.4201488039705068,247.0,225.5,21.5,2,0,2,2
7,TNG100-489358-IFU-37,1-48136,489358,37,0.04013552820740925,0.6712543793479308,287.0,284.0,3.0,2,0,2,0
8,TNG100-296304-IFU-37,1-55612,296304,37,0.029853501359717736,0.7103815446399196,186.5,190.0,3.5,2,0,1,0
9,TNG100-445515-IFU-61,1-48223,445515,61,0.1106884330203485,0.4788295434836736,173.0,198.0,25.0,2,0,1,2
10,TNG100-146191-IFU-61,1-55683,146191,61,0.041047765437597535,0.4589955245023525,342.0,,,2,0,0,0
11,TNG100-419909-IFU-61,1-48116,419909,61,0.0649598016990416,0.6171262460857271,69.5,67.5,2.0,2,0,2,0
12,TNG100-134854-IFU-91,1-48208,134854,91,0.06725915576571515,0.7275459676839823,245.0,,,2,0,0,0
13,TNG100-379320-IFU-127,1-55529,379320,127,0.12498030746147447,0.6952845096987503,190.0,190.0,0.0,2,0,2,0
14,TNG100-413608-IFU-127,1-48189,413608,127,0.07862749150423401,0.5589533810474477,208.0,194.5,13.5,2,2,2,0
15,TNG100-613164-IFU-19,1-55552,613164,19,0.024622543698359273,0.2138866870806564,347.5,324.5,23.0,2,0,2,0
16,TNG100-484155-IFU-19,1-72673,484155,19,0.04821364183374423,0.6216869863935882,188.5,213.0,24.5,2,0,2,0
17,TNG100-414549-IFU-37,1-72610,414549,37,0.1128257304837284,0.4384128331267304,325.5,358.5,33.0,2,0,2,0
18,TNG100-619976-IFU-37,1-44990,619976,37,0.0201067603053966,0.6349902394407985,276.5,270.5,6.0,2,0,2,0
